mavpackettype,omegaIx,omegaIy,omegaIz,accel_weight,renorm_val,error_rp,error_yaw,roll,pitch,yaw,altitude,lat,lng,time_boot_ms,rollspeed,pitchspeed,yawspeed,lon,alt,relative_alt,vx,vy,vz,hdg,airspeed,groundspeed,heading,throttle,climb,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,load,voltage_battery,current_battery,battery_remaining,drop_rate_comm,errors_comm,errors_count1,errors_count2,errors_count3,errors_count4,Vcc,Vservo,flags,brkval,freemem,freemem32,nav_roll,nav_pitch,nav_bearing,target_bearing,wp_dist,alt_error,aspd_error,xtrack_error,seq,total,mission_state,mission_mode,time_usec,port,servo1_raw,servo2_raw,servo3_raw,servo4_raw,servo5_raw,servo6_raw,servo7_raw,servo8_raw,servo9_raw,servo10_raw,servo11_raw,servo12_raw,servo13_raw,servo14_raw,servo15_raw,servo16_raw,chancount,chan1_raw,chan2_raw,chan3_raw,chan4_raw,chan5_raw,chan6_raw,chan7_raw,chan8_raw,chan9_raw,chan10_raw,chan11_raw,chan12_raw,chan13_raw,chan14_raw,chan15_raw,chan16_raw,chan17_raw,chan18_raw,rssi,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag,id,temperature,press_abs,press_diff,temperature_press_diff,fix_type,eph,epv,vel,cog,satellites_visible,alt_ellipsoid,h_acc,v_acc,vel_acc,hdg_acc,time_unix_usec,direction,speed,speed_z,spacing,terrain_height,current_height,pending,loaded,velocity_variance,pos_horiz_variance,pos_vert_variance,compass_variance,terrain_alt_variance,airspeed_variance,x,y,z,vibration_x,vibration_y,vibration_z,clipping_0,clipping_1,clipping_2,coordinate_frame,type_mask,lat_int,lon_int,afx,afy,afz,yaw_rate,battery_function,type,voltages,current_consumed,energy_consumed,time_remaining,charge_state,voltages_ext,mode,fault_bitmask,voltage,current,totalcurrent,rpm,count,tc1,ts1,autopilot,base_mode,custom_mode,system_status,mavlink_version
WIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-180.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRAIN_REPORT,,,,,,,,,,,,-353561625.0,,,,,,1491751458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,569.7197875976562,114.36016845703125,0.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKF_STATUS_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006133915390819311,0.020876869559288025,0.00026961363619193435,0.008657115511596203,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCAL_POSITION_NED,,,,,,,,,,,,,,5934099.0,,,,,,,-9.01354694366455,4.405282974243164,0.002194718224927783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.31640625,899.5317993164062,-99.99147033691406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934099577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00275585544295609,0.002845186274498701,0.00331420311704278,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSITION_TARGET_GLOBAL_INT,,,,,,,,,,0.0,,,,5934099.0,,,,,684.0799560546875,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65016.0,-353604746.0,1491777243.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
BATTERY_STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3038.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,"[12600, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535]",49520.0,22465.0,0.0,1.0,"[0, 0, 0, 0]",0.0,0.0,,,,,,,,,,,,
ESC_TELEMETRY_1_TO_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[32, 32, 32, 32]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1679, 1679, 1679, 1679]","[80, 80, 80, 80]","[1, 1, 1, 1]","[0, 0, 0, 0]","[11944, 11944, 11944, 11944]",,,,,,,
AHRS,-0.0014516650699079037,-0.0012485950719565153,-0.001493149669840932,0.0,0.0,0.0021947799250483513,0.0013957624323666096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHRS2,,,,,,,,-0.004199988208711147,-0.5099706053733826,2.692160129547119,684.0799560546875,-353561847.0,1491751589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTITUDE,,,,,,,,-0.0038959989324212074,-0.5076099634170532,2.690197706222534,,,,5934349.0,-0.0004180560354143381,-0.000969855987932533,-0.0007738415733911097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL_POSITION_INT,,,,,,,,,,,,-353561826.0,,5934349.0,,,,1491751578.0,684080.0,100001.0,-901.0,440.0,0.0,15413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
